"Release","class","count"
"2016-03-11","lode-Events",605
"2016-03-22","lode-Events",605
"2016-04-09","lode-Events",1301
"2016-05-03","lode-Events",1301
"2016-05-13","lode-Events",1409
"2016-05-27","lode-Events",1883
"2016-06-15","lode-Events",2182
"2016-09-09","lode-Events",689
"2016-03-11","dul-Places",20692
"2016-03-22","dul-Places",20692
"2016-04-09","dul-Places",27858
"2016-05-03","dul-Places",26066
"2016-05-13","dul-Places",26827
"2016-05-27","dul-Places",25828
"2016-06-15","dul-Places",41018
"2016-09-09","dul-Places",44968
